Group	Postcode	Suburb Name	State		Group	"Turn Around Time
(Business Days)"	Cut Off Time	Next Order Cut Off	Next Corresponding Delivery Day	Delivery Day	Delivery Frequency	Delivery Company 
ACT - Metro	2578	Bonnieview Lookout	ACT	Bonnieview LookoutACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2578	Bundanoon	ACT	BundanoonACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2578	Bundanoon North	ACT	Bundanoon NorthACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2578	Grand Canyon	ACT	Grand CanyonACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2578	Riverview Lookout	ACT	Riverview LookoutACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2578	Teudts Lookout	ACT	Teudts LookoutACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2579	Ascott Park	ACT	Ascott ParkACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2579	Brayton	ACT	BraytonACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2579	Bullan	ACT	BullanACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2579	Dungeon Falls	ACT	Dungeon FallsACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
ACT - Metro	2579	Exeter	ACT	ExeterACT	ACT - Metro	5	midnight	Midnight, 20/06/2017	28/06/2017	Wednesday	Fortnightly	Cool Couriers - Sydney
